Locus	sgRNA	Beta	zscore	pvalue	FDR	wald_pvalue	wald_fdr	Cas_variant	FACS_protein	sgRNA_group
rs9907229	4	-0.090934	-0.61105	0.37701	0.92807	0.54116	0.88768	Cas9	Ca	CAD_loci
rs4638157	3	-0.12054	-1.3818	0.31504	0.89089	0.16704	0.68686	Cas9	Ca	CAD_loci
rs2689330	1	-0.18982	-1.5867	0.37133	0.9268	0.11259	0.67981	Cas9	Ca	CAD_loci
rs17411133	3	0.022797	0.26473	0.85289	0.992	0.79122	0.97504	Cas9	Ca	CAD_loci
rs61882122	5	0.19524	2.173	0.065752	0.75962	0.029782	0.59361	Cas9	Ca	CAD_loci
rs2678204	5	0.12968	0.89946	0.19726	0.84818	0.36841	0.81997	Cas9	Ca	CAD_loci
rs1441753	5	0.076275	1.3334	0.45695	0.94101	0.18239	0.70524	Cas9	Ca	CAD_loci
rs3766039	5	-0.013063	-0.087844	0.8964	0.992	0.93	0.98486	Cas9	Ca	CAD_loci
rs357497	4	0.15605	0.96892	0.15989	0.82641	0.33258	0.79281	Cas9	Ca	CAD_loci
rs374982520	5	-0.018892	-0.2611	0.8543	0.992	0.79402	0.97596	Cas9	Ca	CAD_loci
rs3822921	5	-0.068624	-1.0695	0.47588	0.94101	0.28486	0.76287	Cas9	Ca	CAD_loci
rs10935972	5	0.0016197	0.017975	0.98817	0.99619	0.98566	0.9965	Cas9	Ca	CAD_loci
rs2203452	1	-0.2989	-1.5423	0.1561	0.81683	0.123	0.67981	Cas9	Ca	CAD_loci
rs454837	1	-0.36889	-2.2779	0.095553	0.78327	0.022731	0.59361	Cas9	Ca	CAD_loci
rs2571461	5	0.095707	1.3746	0.3491	0.90552	0.16927	0.68914	Cas9	Ca	CAD_loci
rs12413046	3	-0.051411	-0.4755	0.6684	0.98533	0.63443	0.93302	Cas9	Ca	CAD_loci
rs4888404	5	0.041672	0.42088	0.6807	0.98533	0.67384	0.95439	Cas9	Ca	CAD_loci
rs2383207	5	-0.21739	-3.1117	0.019868	0.58442	0.00186	0.26571	Cas9	Ca	CAD_loci
rs62233098	2	-0.11662	-0.81206	0.42289	0.93841	0.41676	0.83753	Cas9	Ca	CAD_loci
rs72743477	5	0.02098	0.25364	0.83207	0.992	0.79978	0.97596	Cas9	Ca	CAD_loci
rs1002135	2	0.098173	0.7537	0.51325	0.95451	0.45103	0.84138	Cas9	Ca	CAD_loci
Ess_SAM_RPL10A	8	0.087156	1.2677	0.25875	0.87768	0.20492	0.72319	Cas9	Ca	essential_genes
rs11057400	5	0.13361	1.8366	0.1859	0.84818	0.066264	0.62414	Cas9	Ca	CAD_loci
prom_SELE	5	0.064016	0.47168	0.52318	0.95462	0.63715	0.93302	Cas9	Ca	known_genes
prom_PECAM1	5	-0.016147	-0.23223	0.87465	0.992	0.81636	0.97596	Cas9	Ca	known_genes
rs12298484	5	-0.096984	-1.2275	0.30369	0.89089	0.21965	0.72512	Cas9	Ca	CAD_loci
rs55754634	5	-0.17703	-1.594	0.061022	0.75962	0.11094	0.67981	Cas9	Ca	CAD_loci
rs1010630	5	-0.14712	-1.7169	0.10785	0.78914	0.085992	0.63403	Cas9	Ca	CAD_loci
rs4888416	5	-0.14256	-1.5451	0.12015	0.79375	0.12231	0.67981	Cas9	Ca	CAD_loci
rs111288206	5	0.13415	0.8895	0.18401	0.84818	0.37373	0.81997	Cas9	Ca	CAD_loci
rs7527499	4	0.054282	0.62872	0.62204	0.96909	0.52953	0.88379	Cas9	Ca	CAD_loci
rs7204984	5	0.015768	0.2356	0.87559	0.992	0.81374	0.97596	Cas9	Ca	CAD_loci
rs2673135	5	0.058424	0.85475	0.56149	0.96141	0.39269	0.83014	Cas9	Ca	CAD_loci
rs79789232	3	-0.13494	-1.686	0.26679	0.87768	0.091803	0.6435	Cas9	Ca	CAD_loci
rs71778313	5	-0.012162	-0.19091	0.90161	0.992	0.84859	0.97675	Cas9	Ca	CAD_loci
rs1429141	5	-0.11368	-1.2406	0.22753	0.86988	0.21476	0.72512	Cas9	Ca	CAD_loci
rs13134800	5	0.015723	0.25265	0.87606	0.992	0.80054	0.97596	Cas9	Ca	CAD_loci
rs2138157	5	0.046077	0.52832	0.65516	0.98097	0.59727	0.91099	Cas9	Ca	CAD_loci
rs9469932	2	-0.010345	-0.11244	0.96452	0.99619	0.91047	0.98249	Cas9	Ca	CAD_loci
rs3918226	5	0.016461	0.28024	0.8666	0.992	0.77929	0.96871	Cas9	Ca	CAD_loci
rs6689306	5	0.0173	0.31014	0.86377	0.992	0.75645	0.96462	Cas9	Ca	CAD_loci
Pos_SAM_ICAM1	5	0.060252	0.70712	0.54683	0.95616	0.47949	0.85414	Cas9	Ca	known_genes
rs7859362	1	-0.1488	-1.3393	0.47493	0.94101	0.18046	0.70524	Cas9	Ca	CAD_loci
rs7133378	5	-0.026884	-0.32086	0.79044	0.992	0.74831	0.96462	Cas9	Ca	CAD_loci
rs781658	4	-0.097504	-1.2209	0.34579	0.90247	0.22212	0.72512	Cas9	Ca	CAD_loci
rs11065987	5	-0.07019	-0.82399	0.4631	0.94101	0.40995	0.83638	Cas9	Ca	CAD_loci
rs4930722	4	-0.029221	-0.23176	0.78146	0.992	0.81672	0.97596	Cas9	Ca	CAD_loci
rs11864102	4	-0.0012264	-0.0095983	0.98392	0.99619	0.99234	0.99891	Cas9	Ca	CAD_loci
rs2069945	5	-0.016078	-0.25106	0.87606	0.992	0.80177	0.97596	Cas9	Ca	CAD_loci
rs4638613	5	-0.072591	-1.0639	0.44797	0.94101	0.28736	0.76287	Cas9	Ca	CAD_loci
rs10485012	5	-0.023508	-0.10951	0.81977	0.992	0.9128	0.98252	Cas9	Ca	CAD_loci
rs11022743	5	0.043218	0.45973	0.67219	0.98533	0.64571	0.93752	Cas9	Ca	CAD_loci
rs12541912	4	-0.068514	-1.1945	0.5123	0.95451	0.23227	0.72704	Cas9	Ca	CAD_loci
Pos_SAM_CAV1	18	0.042747	0.68183	0.41675	0.93841	0.49534	0.86253	Cas9	Ca	known_genes
rs148213919	5	-0.022857	-0.31158	0.82356	0.992	0.75536	0.96462	Cas9	Ca	CAD_loci
rs2391825	5	-0.096083	-1.1419	0.30937	0.89089	0.25351	0.74329	Cas9	Ca	CAD_loci
rs57265257	1	-0.27574	-2.1946	0.1807	0.84327	0.028195	0.59361	Cas9	Ca	CAD_loci
rs1364078	4	0.019577	0.24986	0.85478	0.992	0.80269	0.97596	Cas9	Ca	CAD_loci
Ess_SAM_KPNB1	11	0.10703	1.9226	0.12157	0.79567	0.054528	0.60888	Cas9	Ca	essential_genes
rs9911155	4	0.0085284	0.16065	0.93851	0.992	0.87237	0.97677	Cas9	Ca	CAD_loci
Ess_SAM_ARCN1	6	0.25039	1.7978	0.012772	0.57143	0.072213	0.62435	Cas9	Ca	essential_genes
rs7757005	5	-0.01786	-0.18928	0.86093	0.992	0.84987	0.97677	Cas9	Ca	CAD_loci
rs1358403	5	-0.082729	-1.0729	0.38079	0.92956	0.2833	0.76287	Cas9	Ca	CAD_loci
rs62233145	5	0.016715	0.1532	0.86613	0.992	0.87824	0.97677	Cas9	Ca	CAD_loci
rs12219901	5	-0.035937	-0.38551	0.72185	0.99068	0.69986	0.9631	Cas9	Ca	CAD_loci
rs12217501	5	0.15046	2.0429	0.13907	0.80992	0.041058	0.59361	Cas9	Ca	CAD_loci
rs57677983	5	-0.010075	-0.17099	0.91816	0.992	0.86423	0.97677	Cas9	Ca	CAD_loci
rs2713551	4	-0.063239	-0.79552	0.54636	0.95616	0.42631	0.83878	Cas9	Ca	CAD_loci
rs76791229	5	-0.084779	-1.3909	0.37133	0.9268	0.16425	0.68593	Cas9	Ca	CAD_loci
rs17023141	5	0.063179	0.88975	0.5298	0.95531	0.3736	0.81997	Cas9	Ca	CAD_loci
rs1441755	4	-0.069392	-0.66659	0.50804	0.95451	0.50503	0.86481	Cas9	Ca	CAD_loci
rs1169300	5	0.06582	0.91806	0.51561	0.95451	0.35859	0.81193	Cas9	Ca	CAD_loci
rs8048527	3	-0.078165	-1.2205	0.52318	0.95462	0.22229	0.72512	Cas9	Ca	CAD_loci
rs6704	5	0.093927	1.4232	0.35572	0.91262	0.15467	0.68536	Cas9	Ca	CAD_loci
rs11072807	5	0.0017382	0.020139	0.9877	0.99619	0.98393	0.99638	Cas9	Ca	CAD_loci
rs2673140	5	-0.055019	-0.68719	0.56859	0.96175	0.49196	0.86244	Cas9	Ca	CAD_loci
Pos_SAM_ITPR2	7	0.2682	1.9965	0.0066225	0.42424	0.045877	0.59361	Cas9	Ca	known_genes
rs12493885	5	0.087285	1.1604	0.39451	0.93841	0.2459	0.73444	Cas9	Ca	CAD_loci
rs2279284	5	-0.12202	-1.1429	0.19253	0.84818	0.25307	0.74329	Cas9	Ca	CAD_loci
rs7165081	5	-0.065789	-0.80304	0.4948	0.95351	0.42195	0.83878	Cas9	Ca	CAD_loci
rs11865004	5	0.083147	1.064	0.4158	0.93841	0.28734	0.76287	Cas9	Ca	CAD_loci
rs17081933	4	0.28629	1.8455	0.019395	0.58442	0.064959	0.62414	Cas9	Ca	CAD_loci
rs62233113	4	-0.050832	-0.41379	0.63529	0.9726	0.67903	0.95698	Cas9	Ca	CAD_loci
rs1109341	5	-0.029643	-0.3757	0.7701	0.992	0.70714	0.9631	Cas9	Ca	CAD_loci
rs2972143	5	-0.135	-2.3506	0.14333	0.81067	0.018745	0.58276	Cas9	Ca	CAD_loci
rs139695218	5	-0.11303	-0.95547	0.23084	0.86988	0.33934	0.79808	Cas9	Ca	CAD_loci
rs604021	5	-0.037185	-0.44056	0.70719	0.98745	0.65953	0.94462	Cas9	Ca	CAD_loci
rs55741019	5	0.13283	1.5413	0.1878	0.84818	0.12324	0.67981	Cas9	Ca	CAD_loci
rs35552264	5	0.036824	0.42598	0.71097	0.98817	0.67012	0.95111	Cas9	Ca	CAD_loci
rs732998	5	-0.017982	-0.14656	0.86045	0.992	0.88348	0.97677	Cas9	Ca	CAD_loci
rs11617955	5	-0.1893	-2.6439	0.044465	0.71212	0.0081949	0.51659	Cas9	Ca	CAD_loci
rs10766066	5	-0.067617	-0.65957	0.48061	0.94101	0.50953	0.87148	Cas9	Ca	CAD_loci
rs76490849	5	0.010487	0.16615	0.91911	0.992	0.86804	0.97677	Cas9	Ca	CAD_loci
rs11191580	3	0.083406	0.72912	0.50473	0.9545	0.46593	0.84709	Cas9	Ca	CAD_loci
rs2713553	5	-0.11381	-1.506	0.22658	0.86988	0.13206	0.67981	Cas9	Ca	CAD_loci
rs12411886	5	-0.081636	-1.532	0.386	0.93151	0.12552	0.67981	Cas9	Ca	CAD_loci
rs11908683	5	0.058525	0.83077	0.56102	0.96141	0.40611	0.83638	Cas9	Ca	CAD_loci
rs2943640	5	0.069306	0.78577	0.49574	0.95359	0.432	0.83878	Cas9	Ca	CAD_loci
rs17282064	4	-0.23234	-2.3284	0.024598	0.62651	0.019892	0.59361	Cas9	Ca	CAD_loci
rs847888	3	-0.14708	-1.3853	0.22327	0.86988	0.16595	0.68686	Cas9	Ca	CAD_loci
rs6227	5	0.029392	0.3626	0.77105	0.992	0.7169	0.9631	Cas9	Ca	CAD_loci
rs12311848	4	0.03823	0.54301	0.7299	0.99068	0.58712	0.9106	Cas9	Ca	CAD_loci
rs17092297	5	-0.050399	-1.0226	0.60738	0.96863	0.30649	0.77967	Cas9	Ca	CAD_loci
rs6694817	5	0.038557	0.35771	0.70104	0.98537	0.72056	0.9631	Cas9	Ca	CAD_loci
rs62011002	5	0.082581	1.0258	0.42053	0.93841	0.305	0.77835	Cas9	Ca	CAD_loci
rs56256623	5	-0.0035957	-0.08415	0.96831	0.99619	0.93294	0.98562	Cas9	Ca	CAD_loci
rs12714145	5	0.089211	0.87301	0.38316	0.93135	0.38266	0.82632	Cas9	Ca	CAD_loci
rs201810558	5	-0.078759	-0.69043	0.40539	0.93841	0.48992	0.86244	Cas9	Ca	CAD_loci
rs373711095	5	0.09793	1.3369	0.33444	0.89798	0.18124	0.70524	Cas9	Ca	CAD_loci
rs79197732	5	-0.040889	-0.50489	0.68117	0.98533	0.61364	0.92395	Cas9	Ca	CAD_loci
rs2161967	5	0.0020524	0.030202	0.98486	0.99619	0.97591	0.99638	Cas9	Ca	CAD_loci
rs2250644	5	-0.064213	-1.0409	0.50615	0.9545	0.29792	0.77182	Cas9	Ca	CAD_loci
rs201656471	5	-0.025956	-0.33393	0.79991	0.992	0.73843	0.96462	Cas9	Ca	CAD_loci
rs6567160	5	-0.0098681	-0.1545	0.92006	0.992	0.87722	0.97677	Cas9	Ca	CAD_loci
rs959376	5	-0.040634	-0.63675	0.68212	0.98533	0.52429	0.88183	Cas9	Ca	CAD_loci
rs6499560	5	0.089402	1.1945	0.38221	0.93088	0.23226	0.72704	Cas9	Ca	CAD_loci
rs11191560	3	-0.013177	-0.18564	0.92479	0.992	0.85273	0.97677	Cas9	Ca	CAD_loci
rs28524880	3	0.053177	0.76501	0.65989	0.98103	0.44427	0.83878	Cas9	Ca	CAD_loci
rs75046797	2	-0.23205	-1.6586	0.12394	0.79762	0.097189	0.64988	Cas9	Ca	CAD_loci
rs3770098	5	0.042823	0.45102	0.67455	0.98533	0.65198	0.94222	Cas9	Ca	CAD_loci
rs920588	5	-0.12624	-1.6171	0.17313	0.83333	0.10587	0.67303	Cas9	Ca	CAD_loci
rs62233975	1	-0.63008	-1.3799	0.017029	0.58065	0.16762	0.68686	Cas9	Ca	CAD_loci
rs2122365	3	-0.063832	-0.79835	0.59697	0.96791	0.42467	0.83878	Cas9	Ca	CAD_loci
rs4993970	5	-0.061805	-0.87869	0.52554	0.95462	0.37957	0.82468	Cas9	Ca	CAD_loci
rs1250258	5	0.028864	0.25147	0.77578	0.992	0.80145	0.97596	Cas9	Ca	CAD_loci
rs1058588	5	0.10748	0.97611	0.29281	0.89089	0.32901	0.79161	Cas9	Ca	CAD_loci
Pos_SAM_SELP	7	0.0029436	0.053404	0.95885	0.99619	0.95741	0.99165	Cas9	Ca	known_genes
rs1481892	5	0.030277	0.39361	0.76301	0.992	0.69387	0.96211	Cas9	Ca	CAD_loci
rs73015013	5	-0.01509	-0.19565	0.88647	0.992	0.84488	0.97602	Cas9	Ca	CAD_loci
rs2071410	5	0.0016823	0.021773	0.9877	0.99619	0.98263	0.99638	Cas9	Ca	CAD_loci
rs1727884	5	0.061405	0.85507	0.53974	0.95616	0.39251	0.83014	Cas9	Ca	CAD_loci
rs4765219	5	0.0085606	0.11064	0.93661	0.992	0.9119	0.98252	Cas9	Ca	CAD_loci
rs4993969	2	-0.05619	-0.36833	0.71239	0.98822	0.71263	0.9631	Cas9	Ca	CAD_loci
rs6659705	5	-0.071734	-0.82547	0.45553	0.94101	0.40911	0.83638	Cas9	Ca	CAD_loci
rs3748626	5	0.06572	0.87223	0.51608	0.95451	0.38308	0.82632	Cas9	Ca	CAD_loci
rs1384025	5	0.0074356	0.064056	0.94607	0.99503	0.94893	0.98981	Cas9	Ca	CAD_loci
rs2040969	5	0.034226	0.56161	0.73273	0.99068	0.57438	0.90264	Cas9	Ca	CAD_loci
rs11721947	1	-0.11065	-0.83209	0.59319	0.96791	0.40536	0.83638	Cas9	Ca	CAD_loci
rs436852	5	0.067639	0.58097	0.5071	0.95451	0.56126	0.89874	Cas9	Ca	CAD_loci
rs3186071	5	-0.08571	-1.0069	0.36424	0.92105	0.31397	0.78599	Cas9	Ca	CAD_loci
rs1332328	5	-0.010064	-0.11968	0.91816	0.992	0.90474	0.98073	Cas9	Ca	CAD_loci
rs62233990	5	-0.16103	-2.2719	0.084674	0.78327	0.023093	0.59361	Cas9	Ca	CAD_loci
rs2083636	5	0.081984	1.0762	0.42526	0.93841	0.28182	0.76287	Cas9	Ca	CAD_loci
rs35541991	5	-0.15993	-1.136	0.086566	0.78327	0.25596	0.74533	Cas9	Ca	CAD_loci
rs398090189	5	0.015911	0.1991	0.8737	0.992	0.84219	0.97602	Cas9	Ca	CAD_loci
rs16986953	5	-0.082645	-1.1296	0.38079	0.92956	0.25865	0.74699	Cas9	Ca	CAD_loci
rs4468572	5	0.12646	2.1196	0.20766	0.85135	0.034044	0.59361	Cas9	Ca	CAD_loci
rs2644119	5	-0.082392	-0.89645	0.38363	0.93135	0.37001	0.81997	Cas9	Ca	CAD_loci
rs7307053	5	-0.0051422	-0.056649	0.95506	0.99619	0.95482	0.98995	Cas9	Ca	CAD_loci
rs2246941	5	-0.091853	-1.6641	0.32829	0.89089	0.096084	0.64988	Cas9	Ca	CAD_loci
rs10935970	2	-0.24778	-1.7484	0.098865	0.78868	0.080396	0.62435	Cas9	Ca	CAD_loci
rs62233976	1	0.18002	0.86369	0.3983	0.93841	0.38776	0.82632	Cas9	Ca	CAD_loci
rs11022749	3	0.14835	1.4152	0.26254	0.87768	0.15702	0.68536	Cas9	Ca	CAD_loci
rs28645698	4	-0.167	-1.7175	0.10643	0.78914	0.08588	0.63403	Cas9	Ca	CAD_loci
rs615896	5	-0.011581	-0.18847	0.90539	0.992	0.85051	0.97677	Cas9	Ca	CAD_loci
rs72689147	5	-0.10094	-2.1906	0.28713	0.89089	0.028478	0.59361	Cas9	Ca	CAD_loci
rs17465982	5	-0.04468	-0.55418	0.64948	0.97724	0.57945	0.90543	Cas9	Ca	CAD_loci
rs75287019	5	-0.052172	-0.8223	0.59413	0.96791	0.41091	0.83638	Cas9	Ca	CAD_loci
rs67745769	5	-0.019254	-0.18758	0.85194	0.992	0.8512	0.97677	Cas9	Ca	CAD_loci
rs12940014	5	-0.18756	-1.7468	0.045885	0.72388	0.080668	0.62435	Cas9	Ca	CAD_loci
rs58405066	5	0.087046	0.74762	0.39499	0.93841	0.45469	0.84265	Cas9	Ca	CAD_loci
rs62233995	5	0.0023625	0.039956	0.98297	0.99619	0.96813	0.99638	Cas9	Ca	CAD_loci
rs12917651	5	0.10177	0.95526	0.31693	0.89089	0.33945	0.79808	Cas9	Ca	CAD_loci
rs9903588	4	-0.07837	-1.0794	0.45033	0.94101	0.28043	0.76287	Cas9	Ca	CAD_loci
rs4948592	3	-0.1761	-2.115	0.13765	0.80992	0.03443	0.59361	Cas9	Ca	CAD_loci
Ess_GECKO_KPNB1	6	0.85063	2.5054	0	0	0.012231	0.51659	Cas9	Ca	essential_genes
rs6503998	1	-0.38865	-2.5548	0.081835	0.78327	0.010626	0.51659	Cas9	Ca	CAD_loci
rs17878846	5	0.037671	0.60103	0.70672	0.98745	0.54782	0.88968	Cas9	Ca	CAD_loci
rs986720	5	0.057437	0.58588	0.56906	0.96175	0.55795	0.89615	Cas9	Ca	CAD_loci
rs10714389	5	0.0046631	0.044316	0.96358	0.99619	0.96465	0.99496	Cas9	Ca	CAD_loci
rs1713813	4	-0.12453	-1.2201	0.2299	0.86988	0.22243	0.72512	Cas9	Ca	CAD_loci
rs3755014	4	-0.077737	-0.99639	0.45553	0.94101	0.31906	0.78741	Cas9	Ca	CAD_loci
rs1250239	5	-0.10389	-2.0574	0.27152	0.87768	0.039644	0.59361	Cas9	Ca	CAD_loci
rs491205	5	0.04981	0.77341	0.62535	0.97063	0.43928	0.83878	Cas9	Ca	CAD_loci
rs8066372	2	-0.083589	-0.39245	0.57379	0.96346	0.69473	0.96211	Cas9	Ca	CAD_loci
rs62233991	5	0.12425	2.0027	0.22044	0.86456	0.04521	0.59361	Cas9	Ca	CAD_loci
rs77112003	5	-0.072623	-1.2642	0.44797	0.94101	0.20617	0.72512	Cas9	Ca	CAD_loci
rs57292191	5	-0.22025	-3.2266	0.018448	0.58442	0.0012528	0.26485	Cas9	Ca	CAD_loci
rs28461509	3	-0.040501	-0.50829	0.73652	0.99068	0.61125	0.92329	Cas9	Ca	CAD_loci
1:56964310	1	0.026429	0.16165	0.88884	0.992	0.87158	0.97677	Cas9	Ca	CAD_loci
rs1412445	5	0.10554	1.1382	0.3018	0.89089	0.25504	0.74452	Cas9	Ca	CAD_loci
rs10156003	4	0.084447	1.2946	0.42384	0.93841	0.19546	0.70524	Cas9	Ca	CAD_loci
rs11265612	1	0.050616	0.74995	0.79612	0.992	0.45329	0.84265	Cas9	Ca	CAD_loci
rs11907438	5	0.094322	0.89205	0.3543	0.91119	0.37237	0.81997	Cas9	Ca	CAD_loci
rs6909574	5	-0.032825	-0.5295	0.74787	0.99068	0.59646	0.9106	Cas9	Ca	CAD_loci
rs6836670	5	-0.050299	-0.62152	0.60833	0.96863	0.53426	0.88444	Cas9	Ca	CAD_loci
rs2178663	5	-0.0075939	-0.10605	0.93709	0.992	0.91554	0.9828	Cas9	Ca	CAD_loci
rs2279287	5	0.14355	1.634	0.15705	0.81975	0.10226	0.66309	Cas9	Ca	CAD_loci
rs918949	5	0.017661	0.21484	0.86045	0.992	0.82989	0.97602	Cas9	Ca	CAD_loci
rs1063281	5	-0.038568	-0.39868	0.69584	0.98533	0.69013	0.96211	Cas9	Ca	CAD_loci
rs4888413	5	0.069364	1.063	0.49527	0.95355	0.28779	0.76287	Cas9	Ca	CAD_loci
rs11191425	5	-0.1362	-1.0923	0.14191	0.81067	0.2747	0.76109	Cas9	Ca	CAD_loci
rs6060230	5	-0.11815	-2.0286	0.20624	0.85135	0.042499	0.59361	Cas9	Ca	CAD_loci
rs11206510	5	0.0059673	0.069321	0.95459	0.99619	0.94473	0.98981	Cas9	Ca	CAD_loci
rs1051338	5	-0.036124	-0.49764	0.72044	0.99068	0.61874	0.92755	Cas9	Ca	CAD_loci
rs8080784	5	-0.041261	-0.60261	0.67833	0.98533	0.54677	0.88968	Cas9	Ca	CAD_loci
rs60955306	5	-0.11755	-0.89752	0.20861	0.85135	0.36944	0.81997	Cas9	Ca	CAD_loci
rs2713559	4	-0.10265	-1.173	0.32356	0.89089	0.24078	0.73161	Cas9	Ca	CAD_loci
rs2820321	5	0.13263	1.2735	0.18827	0.84818	0.20285	0.72073	Cas9	Ca	CAD_loci
rs17228058	5	0.23596	1.6543	0.031693	0.68367	0.098067	0.64988	Cas9	Ca	CAD_loci
rs216201	4	-0.10402	-1.3815	0.32025	0.89089	0.16712	0.68686	Cas9	Ca	CAD_loci
rs56076311	5	-0.17011	-1.9428	0.070956	0.75962	0.052038	0.60888	Cas9	Ca	CAD_loci
rs1035673	2	-0.14895	-0.77893	0.29991	0.89089	0.43602	0.83878	Cas9	Ca	CAD_loci
rs2972147	5	-0.066149	-0.80228	0.49243	0.95155	0.42239	0.83878	Cas9	Ca	CAD_loci
rs12214118	5	-0.040305	-0.21009	0.68448	0.98533	0.8336	0.97602	Cas9	Ca	CAD_loci
rs62233076	4	-0.053476	-0.51267	0.61353	0.96863	0.60819	0.92148	Cas9	Ca	CAD_loci
rs112917455	3	-0.17705	-2.051	0.13718	0.80992	0.040267	0.59361	Cas9	Ca	CAD_loci
rs8059378	3	-0.29874	-2.3881	0.020341	0.58442	0.016937	0.56741	Cas9	Ca	CAD_loci
rs918950	3	-0.087232	-1.0262	0.47162	0.94101	0.30481	0.77835	Cas9	Ca	CAD_loci
rs17087335	5	0.027186	0.35155	0.78903	0.992	0.72518	0.9631	Cas9	Ca	CAD_loci
rs55945050	5	-0.024804	-0.22133	0.80605	0.992	0.82483	0.97596	Cas9	Ca	CAD_loci
rs6489786	5	-0.043779	-0.54867	0.65799	0.98097	0.58323	0.90929	Cas9	Ca	CAD_loci
rs2673136	1	-0.1044	-0.76832	0.62015	0.96909	0.4423	0.83878	Cas9	Ca	CAD_loci
rs73158491	5	0.14769	0.8278	0.14664	0.81592	0.40778	0.83638	Cas9	Ca	CAD_loci
rs1050361	5	0.17222	1.3581	0.10596	0.78914	0.17444	0.69797	Cas9	Ca	CAD_loci
rs7312404	5	-0.041922	-0.48274	0.67313	0.98533	0.62928	0.92937	Cas9	Ca	CAD_loci
rs1011121	5	0.086959	0.79902	0.39546	0.93841	0.42428	0.83878	Cas9	Ca	CAD_loci
rs144724281	4	-0.086009	-1.5385	0.40397	0.93841	0.12394	0.67981	Cas9	Ca	CAD_loci
rs295	5	0.033753	0.53372	0.7351	0.99068	0.59354	0.9106	Cas9	Ca	CAD_loci
rs1713811	4	-0.13267	-2.0884	0.20341	0.8498	0.036762	0.59361	Cas9	Ca	CAD_loci
rs12442476	5	-0.01447	-0.23869	0.88978	0.992	0.81134	0.97596	Cas9	Ca	CAD_loci
rs143287562	5	0.055232	0.77237	0.58562	0.96734	0.43989	0.83878	Cas9	Ca	CAD_loci
Pos_GECKO_VCAM1	6	0.096436	1.2795	0.29423	0.89089	0.2007	0.71671	Cas9	Ca	known_genes
rs11057830	5	0.23546	1.5732	0.031693	0.68367	0.11567	0.67981	Cas9	Ca	CAD_loci
